Time,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,H1,H2,H3,H4
9900.06,67282104,82416440,84905032,83563968,85670120,82987616,83348216,56820964,62322668,79605544,83409200,85849896,83601800,78849608,83674624,1014828,60111012,80176416,80119896,515763,80239600,77806312,79366808,508570,70649576,72172248,71599440,493169,74560952,69959040,68198784,98981704
10200.01,67274080,85924272,86652848,82158216,84088240,82218128,85906352,57520176,62868464,84529752,85219648,84382088,83051512,82702248,84275440,886790,58170664,83203464,78487448,815654,83644344,77125744,79449016,676440,73022560,73645416,70500496,861221,75557592,70886704,71672696,98773928
10500.22,66898996,86112688,88689656,83639136,82893280,89124752,86980320,56193208,62306648,86588248,85367344,88697648,83379128,82849384,81264320,648051,59573584,83140424,84448600,968910,81610464,77995648,78093048,1004173,74855552,73676184,72449384,363723,74445896,69508224,69202456,101030848
10799.91,66138232,90355128,90272120,87449240,89356320,84860864,89523032,58573088,61953148,85064848,85515264,85180728,81527528,84715536,85188568,1015185,57811892,83318120,85354824,779592,82454808,78614920,75472840,986379,74944344,73696408,73225024,431146,76440488,70863888,71405904,102893872
11099.87,66101864,89225328,90578640,88499320,86779312,86897472,88350336,60441144,63284680,88663712,88716200,85788880,88557224,85906352,81871808,739488,59933880,85846504,88295080,756780,82127104,79209200,80359736,740175,76278312,77891200,74484200,648051,79340488,74294064,73192608,103153880
11400.06,66401528,93472200,93286392,87705736,90673664,84672200,87592104,56343248,62643208,87664704,89781232,88090560,88441632,83740544,87834088,1004173,61376600,87647648,85450592,772847,84020648,80280480,83247400,1037424,75532536,76930752,72893984,686828,82796336,72191768,75489008,100789608
11699.97,71473880,90419480,96811392,87343552,88552008,91882320,93175440,60734684,64570416,95440176,90233752,90318696,91016720,84943184,89541472,931986,58113672,88624600,83656312,806317,84996944,83203160,84669800,1120164,77191744,73434024,73909888,607148,82363976,77003048,77656312,104271064
12000.15,69057880,92394400,91651344,89456544,90435768,90334984,97614928,60132496,67869992,92432560,90718984,89058952,88154832,86583856,85970872,870093,57919172,89071232,88514584,643241,89286072,82215512,85292832,756059,75998488,80488384,73168424,764001,83156816,75646688,75670536,102133312
12300.08,68411552,91448048,95023712,92699504,92301560,89815400,96082776,61215904,64696468,92614176,92453768,90208048,90128408,87695832,90757768,612103,59379764,86945216,90872152,843421,87922832,85668752,86058480,941561,81200792,80496328,79673152,589042,83820352,79235336,76003080,103267488
12600.04,69203912,93349904,96845608,92066064,91903112,91556952,94525024,62444440,67198208,95200368,90179840,94030488,93047192,88450024,93142624,910932,63967364,86666576,88384624,754284,91373184,88465056,84766904,885323,83617984,77724152,78516280,731468,88312568,78421512,75743880,105635392
12900,72834832,95750952,95625920,91824328,93021272,93860456,94381208,59882528,63958408,95091752,96133776,96066672,88720320,91599464,93175440,931986,60395208,92836032,88170440,643819,88865400,88180928,88375272,1049916,79194824,79037440,78651112,652814,84370432,77857696,78408984,100386016
13199.94,73789320,95554608,97099128,95381536,95372784,93310512,98234256,59997204,65109164,94122856,97248928,95058256,90730152,91430928,93404568,636271,62886972,91041848,91366704,600164,91354032,91933160,87350104,859799,83231864,83746216,79561168,697083,85930560,78052776,80787160,106551712
13500.13,73224768,96232800,99203848,97108712,97960272,94009888,99410832,60298356,68446360,94859544,94907720,96044616,91825992,91727240,93518512,1333030,62463500,92384336,89887880,757298,89522656,88137472,89844864,867820,86937144,80399264,80119896,568240,87510080,81121280,80077768,104697112
13800.05,74009440,99860008,100538512,94466056,100740672,94005664,98141224,62874752,67235672,95854824,98410488,96777392,95588432,92657032,93564616,731038,63606572,94474096,93910960,699385,91897816,88722704,91243672,603138,83523096,85482968,78372584,490040,87056448,82165896,80417688,107151832
14100,73754944,99681704,101044208,94479432,93325016,94508656,98417440,60261104,66477148,98699336,101830160,96935552,97129432,99340920,93973752,954610,62136556,92448048,92150008,790412,91995296,90116904,91607560,1079919,81546056,82551568,82408568,347053,90791328,82066208,84192432,105565432
14400,72690000,99955152,101453944,96388568,100434392,97433864,100141376,60071076,66928824,100412032,96243936,96266424,98787784,97694352,94248112,1172611,65321396,95129952,95551008,859305,94558024,87826336,91260712,940007,86009032,85414384,81942992,581336,89280256,86328600,83626064,102079632
14700.19,76791544,101081376,99677624,97592064,100433680,97074992,101341464,66880660,67626256,102212200,100308432,99463256,100511448,94168296,97050864,687888,67497752,95611952,92899432,851778,92601608,92400272,89935848,707406,88091376,85146576,86012560,648596,92180272,85959584,82107248,104300784
